,original_title,year,release_date,rating,votes_number,runtime,countries,genres,director,cast
3610,aquamarine,0.6666666666666643,2006-03-03,0.4683544303797468,0.01432834221028912,104,english,comedy family fantasy,elizabeth allen rosenbaum,emma roberts jojo sara paxton jake mcdorman arielle kebbel claudia karvan bruce spence tammin sursok roy billing julia blake shaun micallef lulu mcclatchy natasha leigh dichen lachman lincoln lewis matt okine regis broadway robbie parkin joey massey dillon stephensen donna fox alice hunter adam king nathan lockwood jess smith chris brady dave gilbert elizabeth daily ozzie devrish zack kibria aurea morrisey
1388,8mm,0.487179487179489,1999-02-26,0.6202531645569619,0.05231346992044824,123,english,mystery thriller,joel schumacher,nicolas cage joaquin phoenix james gandolfini peter stormare anthony heald chris bauer catherine keener myra carter amy morton jenny powell anne gee byrd jack betts luis oropeza rachel singer don creech norman reedus fran bennett wilma bonet luis saguar walter k jordan norm compton brian keith russell john robb devan brown doris brent robert amico kiva dawson eva minemar rachel wolfe suzy nakamura torsten voges tahitia dean texas terri vernon guichard ii emily patrick nancy vee lisa vanasco bridgett vera jennifer harris burton richards jovanna vitiello david u hodges william lawrence mack lorena m santos connie mercurio william buck kerry corcoran mario ernesto sánchez claudia aros soraya andrade bob clendenin vito damico daniel dehring mary catherine garrison bodo goerisch gilley grey jacklyn lick carla moon al quinn frankie ray louis e rosas kipling rowe ava lee scott douglas dean taylor
3219,in the name of the king a dungeon siege tale,0.6923076923076934,2008-01-11,0.2784810126582278,0.01745662875644733,127,english,action adventure fantasy,uwe boll,jason statham leelee sobieski john rhysdavies ron perlman claire forlani kristanna loken matthew lillard brian white mike dopud will sanderson tania saulnier ray liotta burt reynolds gabrielle rose terence kelly colin ford michelle harrison eva padberg darren shahlavi aaron pearl michael eklund ron selmour paul wu stephen park marcel maillard daniel boileau christopher rosamond sage brocklebank carrie anne fleming jacqueline ann steuart travis macdonald alana kagan naomi lazarus duncan fraser aidan williamson denis corbett elan even cole henderson kevin d murray christian j stewart
5307,playing by heart,0.4615384615384599,1999-01-22,0.6835443037974682,0.0058616586500602015,121,english german,comedy drama romance,willard carroll,angelina jolie dennis quaid april grace patricia clarkson gena rowlands sean connery gillian anderson christian mills kellie waymire madeleine stowe anthony edwards ellen burstyn jay mohr tim halligan michael emerson jon stewart ryan phillippe john patrick white amanda peet david ferguson joel mccrary alec mapa worthie meacham michael b silver hal landon jr marc allen lewis ron boussom daniel chodos mark lewis jim abele chris conner marcus printup larry antonino tom chuchvara robert english ryo okumoto heath castor david clennon hilary duff nastassja kinski matt malloy adam marsh marilyn monrovia louis e rosas jeremy sisto daniel spink alison trowe rainbow underhill
7258,hoodlum,0.4358974358974379,1997-08-27,0.5949367088607593,0.002094456952680317,130,english,crime drama,bill duke,laurence fishburne tim roth vanessa williams andy garcia cicely tyson chi mcbride clarence williams iii richard bradford william atherton loretta devine queen latifah mike starr beau starr paul benjamin joe guzaldo ed oross jw smith eddie bo smith jr john tolesbey david darlow steve pickering ellis foster bill henderson juan ramírez tony fitzpatrick robert cornelius tab baker joe van slyke daniel bryant don james sulanya sue conway paul eckstein christian payton jackie taylor dick gjonola david nisbet nancy nickel ted love kenya cagle jim saltouros marc vann cheridah best colin bradley sylvester iris lieberman leonard roberts john m watson sr lisa c boltauzer michael mccary erik kilpatrick demetrice oneal tony powell kevyn morrow louis price vernon oliver price laurnea wilkerson tony rich kim adams david a jansen fred nelson robert keating charles koysta joe testa rocky mccord sheridan bailey tiffani glass kirby reed elaine mclaurin lazette rayford obrien j michael jones vanessa truvillion le von campbell ron wilson carrie monique s young johnson will gill jr elana anderson james lacey j todd sharon kimbrough darryl kent clark albert adams sandra hodgehampton delphine t mantz darryl manuel barbara koval chekesha van putten matagi booker sharon ferrolyoung tammi cave magda rivera ashley cie thompson donna m perkins daryl richardson thomas f evans andyjohn joseph luis caballero leon lee fuller charley harrison rita hawn anthony w johnson isley nicole melton dominic paolo testa
8334,strangers with candy,0.6410256410256423,2006-07-21,0.5569620253164556,0.0009905770593260223,97,usa,comedy,paul dinello,amy sedaris paul sedaris chandra wilson kristy thomas dee finley deborah rush ian holm dan hedaya joseph cross elisabeth harnois alexis dziena ivette dumeng carlo alban greg hollimon hechter ubarry allison janney philip seymour hoffman stephen colbert paul dinello dolores duffy maria thayer timothy hsu tom guiry wallace little david pasquesi sarah jessica parker matthew broderick david rakoff cal robertson billy erb callie thorne chris pratt sarah thyre kristen johnston justin theroux lian moy olivia oguma jeremy chu evelyn mcgee alicia ashley randy blair jonah bobo leanne cabrera lionel anthony cook angelina cruz thomas daniel lorena david ryan donowho logann grayce rob hinderliter tony lagarto christopher larkin tony longoria meghan maro todd oldham sarah peters michael rivera timothy roscoe jessica rothert gina vetro mike yedwab
5530,cartel land,0.8974358974358978,2015-07-03,0.7341772151898733,0.00532805401677352,100,usa,documentary news,matthew heineman,tim nailer foley josé manuel el doctor mireles paco valencia chaneque caballo enrique peña nieto ana valencia estanislao beltránin janet fields nicolás sierra karla alfredo castillo cervantes maría imilse arrué
4379,the sisterhood of the traveling pants 2,0.7179487179487154,2008-08-06,0.5822784810126581,0.009525900510708996,119,usa,comedy drama romance,sanaa hamri,amber tamblyn alexis bledel america ferrera blake lively rachel nichols tom wisdom rachel ticotin leonardo nam michael rady shohreh aghdashloo blythe danner jesse williams lucy hale maria konstadarou ernie lively stevie ray dallimore alison folland zacharoula klimatsaki nastas ippokratis panagiotis pitsilos nathaniel martellowhite emmanuel leconte stavros parisis danae savva maryann urbano paul coughlan rebekah aramini cory nichols carly rose sonenclar erik jensen adrienne houghton cannon smith dylan jude sheridan lindsay michelle nader crystal mccrary nicole patrick josh caras kiely williams max woertendyke victor slezak marceline hugot harry l seddon peter conboy bill corsair dono cunningham steve ferrarie nikita francois marty garcia asher isbrucker karmen kluge rory knox kyle maclachlan sean marrinan hayley raphael ann rezanni rich rothbell samantha safdie andrew seddon lisa severferraro kent sladyk jack sneed conor timmis derrick williams
528,antman and the wasp,0.974358974358978,2018-07-06,0.6962025316455694,0.11933985349614465,118,usa,action adventure comedy,peyton reed,paul rudd evangeline lilly michael peña walton goggins bobby cannavale judy greer ti david dastmalchian hannah johnkamen abby ryder fortson randall park michelle pfeiffer laurence fishburne michael douglas divian ladwa goran kostic rob archer sean kleier benjamin byron davis michael cerveris riann steele dax griffin hayley lovitt langston fishburne raelynn bratten madeleine mcgraw tim heidecker stan lee charles justo brian huskey suehyla elattar julia vera jessica winther norwood j cheek jr bryan lugo ana maria quintana darcy shean blake vogt torrey vogel simon potter jon wurster tom scharpling virginia hamilton jessica castro reggie aqui natasha zouves mike nicco alexis smith gary agid halit alptekin joseph amey yianni apostolopolous cassandra areff danyel areff jace areff andy arness nargis bahaduri nooria bahaduri william w barbour daria bauer saskia baur stacy beckly kenny beers reo bell sarah bennani jennifer black marcella bragio tarin breuner forrest briggs sergio briones joe bucaro iii phillip caires joseph camilleri timothy carr kevin carscallen susan case cabran e chamberlain jamel chambers michael chen sabrina chicas carl collanus hunter cone talon crow derek crowe zachary culbertson steve dakota steven j durham christine marie evans jacob evans travis fitzgerald adi freeman hayley gagner gail gamble chris gann damaris garcía jaydyn gay john gettier tahseen ghauri wil gonzalez jake hanson jeremy harrington cassie hendry linda joy henry dan idov michael inscoe cal johnson sawyer d jones jay d kacho henry kingi aleia kristene mika kubo arianna kurys brandon e lee elgin lee christopher leong alejandro lievano dale liner john lobato homero lopez anne luna sam lund alexis ly teryn macallan sophia marcs mary lu marr van marten seth mccracken devon mckelvin shaun mcmillan heidi michaelis perla middleton joshua mikel yvette miner ed moy vaughn myovich brad napp travis neal debra nortonmiller annemarie olsen john ozuna edward parker denney pierce mason pike paul pillsbury zach prusak andre pushkin branson quirke jeff redlick michael andrew reed lindy reedshukla rick richardson sandra dee richardson kayla romans vanessa ross james haruo saito david m sandoval jr corey semple james siderits patricia simmons candido soto iii shawn south bailey standley james sterling thomas w stewart logan taaffe steve tanabe ken thrift robert tinsley mallorie vanghel ronald joe vasquez fatimah eyez verrell etienne vick galen g wathen gary watson benjamin weaver adam weber james d weston ii tanya wheelock steven wiig shawn sakhan yith bobby ysip perry zulu jr
1447,the post,0.9487179487179489,2018-01-12,0.7088607594936708,0.04986029901605186,116,usa uk,biography drama history,steven spielberg,meryl streep tom hanks sarah paulson bob odenkirk tracy letts bradley whitford bruce greenwood matthew rhys alison brie carrie coon jesse plemons david cross zach woods pat healy john rue rick holmes philip casnoff jessie mueller stark sands michael cyril creighton will denton deirdre lovejoy michael devine kelly miller jennifer dundas austyn johnson brent langdon michael stuhlbarg deborah green gary wilmes christopher innvar luke slattery justin swain robert g mckay sasha spielberg bryan burton coral peña dan bittner kenneth tigar david aaron baker gannon mchale kevin loreque francis dumaurier stephen mailer ned noyes john henry cox dan bucatinsky david costabile johanna day annika boras carolyn mccormick susan blackwell jordan baker lauren lim jackson peter van wagner angus hepburn james riordan kelly aucoin cotter smith ben livingston stephen rowe rick crom fenton lawless cullen oliver johnson jaqwan j kelly brett g smith brett diggs anthony m walker saul alvarez theis weckesser david beach shawn allen mclaughlin shaun ohagan thaddeus daniels brendan burke celeste arias sonny valicenti patrick noonan will blomker amy russ aaron roman weiner catherine wolf joel nagle tom bair walter brandes juliana davies hazel mason ginger mason sawyer spielberg mark jacoby jon donahue seth barrish clarke thorell joseph tudisco steve witting gary galone frank ridley jeremiah wiggins alexander sage oyen brittney johnson caleb eberhardt don mccloskey estelle bajou kaylyn scardefield leslie kujo lilli cooper odiseas georgiadis sean meehan steven kearney curzon dobell matthew piazzi armand schultz jerry lobrow mark pinelli jason abrams chris angerman robert arensen marshall axt emily whitcraft baden richard stephen bell marko caka johnny calabro stacey alyse cohen andrew m collins richard r corapi walter cronkite sandy dell dwight d eisenhower scott eliasoph mark falvo deborah finley michael james fry christopher g gates lora lee gayer kate grimes larry gurreri neal huff lyndon baines johnson shana kaplan cory kastle john f kennedy paul kulis davin kuntze kelsey kyle jarrod labine david lamberton zachary leipert frankie li branden marlowe laura maselli randy masters gage maynard doris mccarthy kevin d mcgee alexander mercier byron eugene meyer wayne j miller sheryl minikes frank modica robert myers andrew raffelson alex rak matthew rose kelly ryan edward sass daniel schorr kent sladyk sophia smith todd smolar dave sorboro evelyn spahr chuck taber elizabeth tate randall trang harry s truman rob tunstall eha urbsalu mathew walters marla aaron wapner jake wells denise marie whalen eden wright
