,original_title,year,release_date,rating,votes_number,runtime,countries,genres,director,cast
3472,honey i blew up the kid,0.3076923076923066,1992-07-17,0.40506329113924044,0.015350888533988263,89,usa,adventure comedy family,randal kleiser,rick moranis marcia strassman robert oliveri daniel shalikar joshua shalikar lloyd bridges john shea keri russell ron canada amy oneill michael milhoan gregory sierra leslie neale julia sweeney linda carlson lisa mende john paragon kenneth tobey bill moseley ed feldman suzanne kent alex daniels robert jaffe ron lawrence john hora mary ellen moore randy swallow pamela cederquist james m lauten shannon m steger minori goto mamoru kanal gregory mccurdy david scates marion palmer kathy pastor bill loska ramiro avendano james a brooks brian caban chris frank bill gobber djanine kinglasky stan rodarte gary rodriguez jeremy settles derek a smith jonathan tabler mark taormino luc thelliez jr west
7957,ladybugs,0.3076923076923066,1992-03-27,0.4810126582278481,0.0013248439265214663,90,english,comedy sport,sidney j furie,rodney dangerfield jackée harry jonathan brandis ilene graff vinessa shaw tom parks jeannetta arnette crystal cooke jennifer frances lee vanessa monique rossel johna stewartbowden jandi swanson nancy parsons blake clark tommy lasorda carolyn mccabe chuck mccann ed tyree chris gunn harry basil mindy wolpa rita kinsey annette marin sue leiser liz jury michael k osborn pam ward timothy rice leonard wilson thomas russel anderson g suzie stewart jon bowman meghan christine muir emilio romero susan damante sarah k deigert tia marlier suzanne nelson lorrie singer david chan matthew shea jon welden james steve landesberg anne lockhart david taylor
389,a quiet place,0.974358974358978,2018-04-06,0.7468354430379746,0.14868293682826345,90,usa,drama horror scifi,john krasinski,emily blunt john krasinski millicent simmonds noah jupe cade woodward leon russom rhoda pell
5236,kill me three times,0.8717948717948758,2015-04-10,0.5443037974683544,0.006071339413448624,90,usa australia,action comedy crime,kriv stenders,simon pegg steve le marquand alice braga teresa palmer sullivan stapleton luke hemsworth callan mulvey bryan brown daniel berenger cody fullbrook anna philp tony spencer kriv stenders veronica wayte
278,the girl with the dragon tattoo,0.7948717948717956,2011-12-21,0.7848101265822783,0.18166064343786184,158,usa sweden norway,crime drama mystery,david fincher,daniel craig rooney mara christopher plummer stellan skarsgård steven berkoff robin wright yorick van wageningen joely richardson geraldine james goran visnjic donald sumpter ulf friberg bengt cw carlsson tony way per myrberg josefin asplund eva fritjofson moa garpendal maia hansson bergqvist sarah appelberg julian sands anna björk gustaf hammarsten simon reithner david dencik marcus johansson mathilda von essen mathias palmér martin jarvis inga landgré reza dehban anders berg mats andersson anders jansson jürgen klein kalle josephson sandra andreis arly jover pierre sjö östergren tess panzer alastair duncan alan dale julia rose peter carlberg jan abramson lena strömdahl matthew wolf anneli norberg leo bill marco albrecht martina lotun anna carlson yvonne åstrand fredrik dolk christian heller werner biermeier christine adams peter hottinger joyce giraud bengt wallgren elodie yung anna charlotta gunnarson andreas björklund embeth davidtz joel kinnaman karen e wright leah shaw george gerdes magnus af sandeberg sheila atkinson mitcho batalov jenifer brougham roscoe the cat melissa ciesla bern collaço amanda dyar laurence fuller henry hereford patrick holland darri ingolfsson maja kin shaun rl king ian kitzmiller charlotta lövgren christopher maleki annica mccrudden cate montgomery alessandro piersimoni sahlima lennart b sandelin britt soderberg malin toverud yasmine vine denise wessman mike zehr
2508,the informant,0.7435897435897445,2009-09-18,0.6075949367088607,0.025879589646283598,108,usa,biography comedy crime,steven soderbergh,matt damon lucas mchugh carroll eddie jemison rusty schwimmer craig ricci shaynak tom papa rick overton melanie lynskey thomas f wilson scott bakula scott adsit ann dowd allan havey howie johnson joel mchale nick craig cody puckett andrew daly david campbell carolyn r feltner jp gillain elena eustache john hans tester ludger pistor rome kanda yoshio be raymond ma hervé deschamps pascal ifri ann cusack dann seki jayden lund chic daniel joe chrest jd mathein william marsh tom smothers clancy brown bob zany tony hale richard steven horvitz tara barrett tim cain ken frye huey freeman brian gallivan daniel hagen patton oswalt samantha albert jimmy brogan paul f tompkins adam paul wayne pére scott england joshua funk candy clark frank welker larry clarke dick smothers steve seagren sage adams roy allen iii rj buckler corey case emma chandler dona ellis nichole fischer gene fojtik james gianoulakis christopher guetig joe hammerstone tabby hanson troy hayes richard hoffman jr bill ibrahim frederick keeve jordan kirkwood bj lange dan latham ted leblang zera lynd allen marsh joseph mazurk cameron potter mallory scott alan seabock gary sedlock malik simmons ej snyder jaxon stanford giota trakas klemens niklaus trenkle jani vorwerk elizabeth zephyrine
3641,double impact,0.2820512820512846,1991-08-09,0.5063291139240506,0.0140735283677857,110,english,action crime,sheldon lettich,jeanclaude van damme geoffrey lewis alonna shaw corinna everson philip chan alan scarfe bolo yeung andy armstrong wu fong lung peter malota sarahjane varley kamel krifa eugene choy jack gilardi jr david lea donn berdahl sing chen julie strain galen yuen alicia stevenson christopher leung leo lee kwokkai ng kwokpo chow waikeung yu yuksan cheung john sham tat chiu lee lee bing chiu chi kin wong john cheung tsang sing kwok paul aylett ching wai chung david ho sarah yuen janto tam eric ng siu wah chan evan lurie roland lor jennifer stone rita lau wong chung ching georges bejue matthew j cates shelley michelle chentu tan
2956,kalifornia,0.3333333333333357,1993-09-03,0.6455696202531644,0.020040497535780893,117,english,crime drama thriller,dominic sena,brad pitt kathy larson david milford david duchovny john zarchen david rose michelle forbes tommy chappelle juliette lewis judson vaughn james michael mcdougal patricia sill brett rice marisa raper bill crabb mary ann hagan jerry g white sarah sullivan eric stenson mars callahan patricia hunte loanne bishop ron kuhlman sierra pecheur john dullaghan david feigenbaum tom hand shelby hofer patricia tallman
1285,tower heist,0.7948717948717956,2011-11-04,0.5822784810126581,0.056710654180474954,104,usa,action comedy crime,brett ratner,ben stiller eddie murphy casey affleck alan alda matthew broderick stephen mckinley henderson judd hirsch téa leoni michael peña gabourey sidibe nina arianda marcia jean kurtz juan carlos hernández harry oreilly peter van wagner zeljko ivanek lynne rossetto kasper annika pergament clem cheung robert downey sr max russell pratts nathan asher malnik spencer malnik jarod malnik julie vilanova cynthia patsos kate upton marilyn kim judianny compres omar nicodemo dylan ratigan allie woods jr johnny tran monika plocienniczak james colby edward noone frank pesce annie park christina jacquelyn calph kevin pariseau desmin borges jessica szohr brian distance village les papp ii michael stratton chris rivaro craig castaldo heavy d veronika korvin robert clohessy jan owen lucky park robert christian mark philip patrick paul hickert kelvin davis christopher breslin ty jones ted lochwyn madison knopp troy hall julie t pham bojun wang juanita howard bob roseman mike d anderson marshall axt andrew ayala gabriella baldacchino darra like dat boyd roger brenner bernard burlew bill chemerka marmee regine cosico alix cross nick diamantis john farrer dennis jay funny jane gussin vonn harris moe hindi rosemary howard rock kohli ilan krigsfeld debbie lang coleman lannum matt lauer john a locke gabriel lopez jeremy mclain leroy mobley stephane nicoli mark pettograsso peter riga joan rivers razor rocco rizzotti lisa seiffert william smiley mark steiger stream zuzanna szadkowski lynne valley barbara vincent steven weisz skyler wright
1168,antz,0.4615384615384599,1998-10-02,0.6202531645569619,0.06336261185128839,83,english,animation adventure comedy,eric darnell,woody allen dan aykroyd anne bancroft jane curtin danny glover gene hackman jennifer lopez john mahoney paul mazursky grant shaud sylvester stallone sharon stone christopher walken jim cummings jerry sroka april winchell eric darnell gary schwartz marty sixkiller
5904,kairo,0.5384615384615401,2005-11-09,0.6202531645569619,0.004378848946636245,119,japanese,horror mystery scifi,kiyoshi kurosawa,haruhiko katô kumiko asô koyuki kurume arisaka masatoshi matsuo shinji takeda jun fubuki shun sugata shô aikawa kôji yakusho kenji mizuhashi takumi tanji hassei takano atsushi yuki go takashima kaori ichijô teruo ono ken furusawa akiko kitamura zengoro mamiana rie yasuda masayuki shionoya
1620,the three musketeers,0.7948717948717956,2011-10-21,0.5189873417721519,0.04399722995726931,110,usa germany france uk,action adventure romance,paul ws anderson,matthew macfadyen milla jovovich helen george christian oliver luke evans ray stevenson til schweiger markus brandl orlando bloom logan lerman dexter fletcher jane perry mads mikkelsen andy gathergood susanne wolff ben moor christoph waltz freddie fox carsten norgaard isaiah michalski horst kiss gudrun meincke victoria koestler yvonne pajonkowski gabriella wilde james corden juno temple nina eichinger max cane iain mckee gode benedix hannes wegener florian brückner nadine merkl marc zahn
3878,the lawnmower man,0.3076923076923066,1992-03-06,0.4810126582278481,0.012493400462520034,108,english,horror scifi,brett leonard,jeff fahey pierce brosnan jenny wright mark bringelson geoffrey lewis jeremy slate dean norris colleen coffey jim landis troy evans rosalee mayeux austin obrien michael gregory joe hart john laughlin ray lykins michael valverde dale raoul frank collison john smart stephen gregory foster doug hutchison denney pierce roger rook craig benton randall fontana mara duronslet duane byrne bruce holman darrell mapson
2173,kingpin,0.4102564102564088,1996-07-26,0.670886075949367,0.031491135816248184,114,english,comedy sport,bobby farrelly,woody harrelson randy quaid vanessa angel bill murray chris elliott william jordan richard tyson lin shaye zen gesner prudence wright holmes rob moran daniel greene will rothhaar mark charpentier brad faxon billy andrade paul dewolf jill lytle bill beauchene sayed badreya linda carola monica shay danny murphy david shackelford mike cerrone mike cavallo rick barker paul pelletier tom leasca tom lupo jimmy shay hank brandt michael corrente herbie flynn suzan hughes googy gress joe smokey krawlicky ryan heggs william heggs hillary matthews willie garson nancy freyjarecki robby thibeau helen manfull terry mullany brian stuebe jim blake chris spain rose smithlotenero michele matheson nicholas greenbury andrew greenbury pucky lippincott mark chief wasler gretchen treser patrick healy sean gildea jackie flynn jonathan richman tommy larkins bob weeks roger clemens libby langdon liza oxnard wallace lester mark pauperas sid greenbud kipp stroden sydney j bartholomew jr andre rosey brown mark miosky john woodin gordie merrick steve gehrke clem franek kathy farrelly stacy lundin jonathon earl stein alex stohn lorri bagley jo marcus cecile krevoy mary stohn steve tyler john stroehman lou consolo docky elizabeth jordan cynthia farrelly gesner joanne wolfe danielle parsons jane pratt steven stabler brian mone taryn chilivis lisa stothard melinda farrelly rachel wagner victoria scott joshua nelson kevin obrien nancy farrelly warren tashjian mariann farrelly aggie byers john popper don julio kevin civale brian voss mark roth justin hromek ron palumbi jr parker bohn iii randy pedersen john cioffoletti john dennis chris schenkel chris berman clint allen urge overkill jessica byers julie byers preston thomas jeff thomas morganna james sporty ahern john neary kenny griswold george bedard joe lewis george christy brad norton andy taylor scott gasbarro blues traveler denverly grant susan a burig michelle meyers kim greene paula gregg alfons kettner michael budge johneliot jordan tommy jordan kelsey jordan shannon wimer joniann wimer mina javid adam i wallace mike healy jay w yowler david lane langford danielle valenciano rolf sigurd brekke beth mone michael listorti robin gau david sullivan jane hill jimmy dandrea jimmy badstibner dave byers chris meyers joyce rover jj hill stephen allison branden cook bob zampano tom byers herman santiesteban ronald wm cowan christine hampton scott williams gary carano glenn carano steve ranger tony amen david barckhoff joseph del giodice barret hackney joby harris chan kinchla frederick e kowalo kristen kress parness herb santos jr cory a santos
2211,star trek generations,0.3589743589743577,1994-11-18,0.6329113924050631,0.030870555978416984,118,english klingon,action adventure mystery,david carson,patrick stewart jonathan frakes brent spiner levar burton michael dorn gates mcfadden marina sirtis malcolm mcdowell james doohan walter koenig william shatner alan ruck jacqueline kim jenette goldstein thomas kopache glenn morshower tim russ tommy hinkley john putch christine jansen michael mack dendrie taylor patti yasutake granville ames henry marshall brittany parkyn majel barrett barbara march gwynyth walsh rif hutton brian thompson marcy goldman jim krestalude judy levitt kristopher logan gwen van dam kim braden christopher james miller matthew collins mimi collins thomas dekker madison eginton olivia hack sam alejan david keith anderson lena banks scott barry rina bennett pam blackwell carl david burks cameron tracee cocco andrew depalma steve diamond tarik ergin gunnel eriksson whoopi goldberg grace harrell kerry hoyt randy james dale kasman stewart lew lorine mendell jerry l quinn keith rayve raul reformina lynn salvatori richard sarstedt penny smarttjuday john alex tampoya dennis tracy guy vardaman d danny warhol
3244,wyatt earp,0.3589743589743577,1994-06-24,0.6455696202531644,0.017271865213820313,191,english spanish,adventure biography crime,lawrence kasdan,kevin costner dennis quaid gene hackman david andrews linden ashby jeff fahey joanna going mark harmon michael madsen catherine ohara bill pullman isabella rossellini tom sizemore jobeth williams mare winningham james gammon rex linn randle mell adam baldwin annabeth gish lewis smith ian bohen betty buckley alison elliott todd allen mackenzie astin jim caviezel karen grassle john dennis johnston téa leoni martin kove jack kehler kirk fox norman howell boots southerland scotty augare gabriel folse kris kamm john lawlor monty stuart hugh ross gregory avellone michael mcgrady mary jo niedzielski scott paul oliver hendrickson darwin mitchell steve kniesel larry sims greg goossen heath kizzier clark sanchez ed beimfohr giorgio e tripoli ben zeller rockne tarkington scott rasmussen ellen blake steph benseman bob dutch holland steve cormier matt langseth david doty steven gregory tyler billy streater david l stone jake walker matt otoole geo cook dillinger steele steve lindsay dick beach benny manning kathleen ohara nick benseman raymond mcgraw luce rains brett cullen marlene d williams paul ukena owen roizman karen schwartz glen burns john furlong zack mcgillis adam taylor rusty hendrickson hanley smith jonathan kasdan dale west michael huddleston albert trujillo john doe matt beck gary dueer roxana benseman joe bernier ivan brutsche bryan david wright shannon denton elias gallegos lawrence kasdan tanit lee lascelles roger marten steve nessel james jr pollard john pritchett mark thomason tracy weisert jim wilson
1159,the age of adaline,0.8974358974358978,2015-04-24,0.7088607594936708,0.06392630520398507,112,usa canada,drama fantasy romance,lee toland krieger,blake lively michiel huisman harrison ford ellen burstyn kathy baker amanda crew lynda boyd hugh ross richard harmon fulvio cecere anjali jay hiro kanagawa peter j gray izabel pearce cate richardson jane craven noel johansen aaron craven primo allon darren dolynski chris william martin mark ghanimé shekhar paleja daniel bacon barclay hope robert moloney dee jay jackson lane edwards toby levins anthony ingruber keith mccafferty serge houde alison wandzura demord dann grace chin colleen bradford ian hawes matthew hoglie mark lavell mike li john lobato craig march myles mccarthy breanna podlasly yaroslav poverlo jacqueline ryan holland sanders phuriphop srichan julia torrance
624,noah,0.8717948717948758,2014-03-28,0.5316455696202531,0.10613983826373044,138,usa,action adventure drama,darren aronofsky,russell crowe jennifer connelly ray winstone anthony hopkins emma watson logan lerman douglas booth nick nolte mark margolis kevin durand leo mchugh carroll marton csokas finn wittrock madison davenport gavin casalegno nolan gross skylar burke dakota goyo ariane rinehart adam griffith sophie nyweide don harvey sami gayle barry sloane arna magnea danks vera fried thor kjartansson gregg bello mellie maissa rei campos oliver lee saunders frank langella jack angel joe barlam ezra barnes joseph basile gabriel f bellotti anne bergstedt andres bjornsson josh bodenhamer rick bolander jessie c bouffier jean burns lucas mchugh carroll tom cassese kylie cast adam celentano clem cote ludovic coutaud jennifer cové arnar dan angela dee devin diazoni ryan ebling jeff el eini francisco escobar joe fionda jim ford daniel grote bradley growden tommi thor gudmundsson jonathan haltiwanger jesse harbold brandon lee harris eythor atli hilmarsson jonathon horton sam ibram david itchkawitz jeff jackter jóhannes haukur jóhannesson chris kapcia david kaplan shana kaplan danielle kay austin kennedy chris kepford sam klein michael kollias bjarni kristjánsson anna kuchma william lapp kirk larsen billy lee jerry lobrow david madison raymond mamrak branden marlowe davy j marr lucas martin brian matthews mara mccann tori mchugh mike mcvearry kevin medina lauren meley fabrizio milito julian murdoch brian murray paul nandzik hayden oliver erik olssen and palladino shaun parry simon pearl joseph piazza max abe plush joseph g quinn marek radin marco reininger daniel revkin greg sammis giovanni sanseviero alan scardapane rob scebelo john f schindler iii sarah schoofs george schroeder martin schöndorfer maria shamkalian david shannon mckenzie shea christian paul sherwood lawrence smith michelle snyder thomas w stewart james taffurelli boriana williams david c yashin jeremy zierau
8285,axl,0.974358974358978,2018-08-24,0.45569620253164556,0.0010390010921264873,98,usa,action adventure family,oliver daly,alex neustaedter becky g alex macnicoll dominic rains thomas jane lou taylor pucci patricia de leon niko guardado mariefrançoise theodore ted mcginley madeline bertani andrew ortenberg hassie harrison magdalene vick sam upton eric etebari jonathan camp donnie smith dan callahan ashley gibson chance lang fred tatasciore dorian kingi stanton lee stacey arwen raab jake riley nicholas wayne thompson dominic vedder chris melissa verdugo
1562,the butler,0.8461538461538467,2013-08-16,0.7088607594936708,0.04598872707321854,132,usa,biography drama,lee daniels,forest whitaker david banner michael rainey jr lajessie smith mariah carey alex pettyfer vanessa redgrave aml ameen clarence williams iii john p fertitta jim gleason oprah winfrey isaac white david oyelowo joe chrest colman domingo adriane lenox terrence howard tyson ford cuba gooding jr lenny kravitz pernell walker james dumont robert aberdeen robin williams john cusack olivia washington yaya dacosta jesse williams margaret m owens eric ducote james marsden minka kelly chloe barach danny strong clara hopkins daniels elijah kelley liev schreiber dana gourrier shirley pugh bill newman nelsan ellis colin walker alex manette mo mcrae alan rickman jane fonda rusty robertson nealla gordon stephen rider andre allemand john l armijo jon arthur rex baker jessica benitez patton brantley joshua braud eugene brezany warren burger blake burt carroll burt jonathan aaron butler tom cain jimmy carter rosalynn carter edward j clare jj coker markeith coleman ross p cook duane cothren haylie creppel walter cronkite steven j daniels robert deon donna duplantier alexander eldimiati jazzy ellis adrienne esteen guy fernandez gerald ford rebecca lee fox redd foxx justin gant ray gaspard tyler gibbs ron glass douglas m griffin brandon guttuso russell m haeuser gene kevin hames jr a michelle harleston sadarias harrell rodney hebert bria hobgood alaine huntington rahsaana ison jesse jackson david jensen allyson leigh jordan mark joyce martin luther king gladys knight alex ladove elton leblanc wanda leigh hal linden sam malone john r mangus starlette miariaunii mike r moreau barack obama mary katherine oglesby monicah owino darryl perrilloux jeffrey poitier renato powell philippe radelet tarra riggs xosha roquemore aaron saxton carl singleton chaz smith kay smith jim sojka andrew j spinks marco st john jason stanly valerie strecker craig tate shirley tregre joseph uzzell bob walker mike wallace dean j west michael whitener demond wilson jake wynnewilson
2439,elizabeth the golden age,0.6923076923076934,2007-10-12,0.6582278481012657,0.02700979716912164,114,uk france germany usa,biography drama history,shekhar kapur,jordi mollà aimee king cate blanchett laurence fox john shrapnel geoffrey rush susan lynch elise mccave samantha morton abbie cornish penelope mcghie rhys ifans eddie redmayne stuart mcloughlin clive owen adrian scarborough robert styles william houston coral beed rosalind halstead steven loton martin baron david armand steven robertson jeremy barker george innes adam godley kirstin smith kelly hunter christian brassington robert cambrinus tom hollander sam spruell tim preece vidal sancho david threlfall benjamin may david sterne kate fleetwood glenn doherty chris brailsford dave legeno antony carrick john atterbury david robb alex giannini joe ferrara jonathan bailey alexander barnes charles bruce jeremy cracknell benedict green adam smith simon stratton crispin swayne kitty fox kate lindesay katherine templar hayley burroughs kirsty mckay lucia ruck keene lucienne venisseback morne botes amelia dearing james fiddy steve lately finn morrell shane nolan jack pollock
8716,the brothers mcmullen,0.3846153846153868,1995-08-11,0.6329113924050631,0.0007183681759136981,98,english,comedy drama romance,edward burns,shari albert maxine bahns catharine bolz connie britton edward burns peter johansen jennifer jostyn michael mcglone elizabeth mckay jack mulcahy
6001,the seeker the dark is rising,0.6923076923076934,2007-10-05,0.40506329113924044,0.004146601643690325,99,english,adventure drama family,david l cunningham,alexander ludwig christopher eccleston ian mcshane frances conroy james cosmo jim piddock amelia warner john benjamin hickey wendy crewson emma lockhart drew tyler bell edmund entin gary entin gregory smith jordan j dale samantha lawson geoff bell gary j tunnicliffe maria miroiu sylvester morand mark donovan stephen evans boiangiu alma
4656,hope floats,0.4615384615384599,1998-05-29,0.5569620253164556,0.008160154731239565,114,english,drama romance,forest whitaker,sandra bullock harry connick jr gena rowlands mae whitman michael paré cameron finley kathy najimy bill cobbs connie ray mona lee fultz sydney berry rachel snow christina stojanovich alissa alban dee hennigan martha long norman bennett james n harrell chris drewy meason wiley tisa hibbs art tamez jeanette sieh tara price richard nance rosanna arquette rose barrett ryan davis becca leigh gellman meera nandlal richard phillips angela rambourg mark rickard pilar walsh
1237,defiance,0.7179487179487154,2009-01-16,0.7088607594936708,0.05901996339519229,137,usa,action drama history,edward zwick,daniel craig liev schreiber jamie bell alexa davalos allan corduner mark feuerstein tomas arana jodhi may kate fahy iddo goldberg iben hjejle martin hancock ravil isyanov jacek koman george mackay jonjo oneill sam spruell mia wasikowska mark margolis markus von lingen rolandas boravskis algirdas dainavicius aurelija prashuntaite vidas petkevicius ina frismanaite ana goldberg rimante valiukaite leonardas pobedonoscevas kristina bertasiute kristina skokova remigijus bilinskas rimgaudas karvelis janina matekonyte leonas ciunis aleksandr zila iveta nadzeikiene clayton frohman marc levy zoe rosenblum sakalas uzdavinys saulius janavicius leonid kotik dalia smalskiene tadas kavaliauskas matas cancingeris diana aneviciute sigitas rackys vaidas kublinskas valentin novopolskij dalia micheleviciute ervinas peteraitis dmitrijus denisiukas antanas surna dalius mertinas vaidotas martinaitis aldona bendoriute darius gumauskas irmantas bacelis edita uzaite jordan bielsky gediminas girdvainis stanislav adamickij klemens becker jonas tamulevigius jaroslav psenicka jolanta dapkunaite miroslav lhotka giacomo strasser mac steinmeier dmitri zisl slepovitch arkadij gotesman borisas kirzeneris raimondas sviackevicius adolf hitler zitto kazann
4328,lone star,0.4102564102564088,1996-06-21,0.7341772151898733,0.009824907159845853,135,usa,drama mystery,john sayles,stephen mendillo stephen j lang chris cooper elizabeth peña oni faida lampley eleese lester joe stevens gonzalo castillo richard coca clifton james tony frank miriam colon kris kristofferson jeff monahan matthew mcconaughey joe morton latanya richardson jackson eddie robinson ron canada chandra wilson damon guy dee macaluso luis cobo marco perella don phillips jr mary jane r hernandez jesse borrego carina martinez tony plana richard andrew jones beatrice winde gabriel casseus randy stripling richard reyes olga luna juan vega iii lizzie curry martinez leo burmester carmen de lavallade vanessa martinez tay strathairn sam vlahos maricela gonzalez tony amendola gilbert r cuellar jr james borrego gordon tootoosis lisa suarez jesus ramirez frances mcdormand john griesemer eduardo martínez azalea mendez murray mead
186,the matrix reloaded,0.5897435897435912,2003-05-15,0.7088607594936708,0.22529774903469277,138,english french,action scifi,lana wachowski,ray anthony christine anu andy arness alima ashtonsheibu helmut bakaitis steve bastoni don battee monica bellucci daniel bernhardt valerie berry ian bliss liliana bogatko michael budd stoney burke kelly butler josephine byrnes noris campos collin chou paul cotter marlene cummins attila davidhazy essie davis terrell dixon nash edgerton laurence fishburne gloria foster david franklin austin galuppo nona gaye daryl heath roy jones jr malcolm kennard david kilde randall duk kim christopher kirby peter lamb nathaniel lees harry lennix tony lynch robert mammone joshua mbakwe matt mccolm scott mclean chris mitchell steve morris carrieanne moss tory mussett rene naufahu robyn nevin david william no genevieve oreilly socratis otto harold perrineau jada pinkett smith montaño rain adrian rayment neil rayment rupert reid keanu reeves david roberts shane c rodrigo nick scoggin kevin scott tahei simpson frankie stevens nicandro thomas gina torres andrew valli steve vella john walton clayton watson hugo weaving cornel west leigh whannell bernard white lambert wilson anthony brandon wong anthony zerbe
6134,down to you,0.512820512820511,2000-01-21,0.430379746835443,0.0038640497629808144,91,usa,comedy drama romance,kris isacsson,freddie prinze jr julia stiles selma blair shawn hatosy zak orth ashton kutcher rosario dawson henry winkler lucie arnaz lauren german zay harding amanda barfield chloe hunter granger green jed rhein joseff stevenson bradley pierce elizabeth levin lola glaudini robin nance mary wigmore alexia landeau caroline ambrose adam carolla jimmy kimmel jason bailey jennifer albano chris desmond susan blommaert julian michael caiazzo jerry careccio chloe beardman frank wood joanna adler mimi langeland elizabeth page mark blum david logan joanna myers richard galella michael j conti david vincent bobb ian dite jim hechim craig mccoy exile ramirez robert reins ben ryan jane scarlett
3215,colonia,0.8974358974358978,2016-04-15,0.6962025316455694,0.017497060473154514,110,germany france luxembourg uk usa,biography drama history,florian gallenberger,emma watson daniel brühl michael nyqvist richenda carey vicky krieps jeanne werner julian ovenden august zirner martin wuttke nicolás barsoff steve karier stefan merki lucila gandolfo johannes allmayer gilles soeder katharina müllerelmau paul herwig oscar garcia martin etienne halsdorf jules waringo johannes frolich lauren jane pringle alexia moyano lydia stevens natalia señorales melania lenoir justina bustos pietro gian marcelo vilaro iván espeche gastón filgueira martine conzemius cuco wallraff pedro merlo lalo rotaveria carlos alejandro lopez jose antonio coello porras stephan szasz edgar moro jasper timm gütersloh boys choir oberländer heimatverein almrauschstamm munich paul schäfer rouven blessing césar bordón éric gigout georg laberger ariel nuñez di croce
9466,black robe,0.2820512820512846,1991-10-04,0.6962025316455694,0.00023177716670513956,101,cree english mohawk algonquin latin,adventure drama war,bruce beresford,lothaire bluteau aden young sandrine holt august schellenberg tantoo cardinal billy two rivers lawrence bayne harrison liu wesley côté frank wilson françois tassé jean brousseau yvan labelle raoul max trujillo james bobbish denis lacroix gilles plante gordon tootoosis marthe turgeon claude préfontaine deano clavet paul stewart jeanraymond châles jeanjacques blanchet marco bacon patrick tenasco george pachanos minor mustain don brisebois jean raphael guy provencher joe de laronde linlyn lue bonfield marcoux wanda obomsawin jeanpierre pérusse gérard soler alison reid brenda adams denis plante daniel thonon cordelia beresford annie bearskin doreen stevens joseph campeau eric johnston mirya obomsawin zoe leigh hopkins rodrigue boivin irvin hill valerie decontie waylon hare roger wylde walter jacobs helen bobish atkinson john tenasco jonathan blacksmith earl danyluk arnold eyahsaulteux
1454,the brothers grimm,0.6410256410256423,2005-08-26,0.5443037974683544,0.049786017490008425,118,usa czech republic uk,action adventure comedy,terry gilliam,petr ratimec barbora lukesová anna rust jeremy robson matt damon heath ledger radim kalvoda martin hofmann josef pepa nos harry gilliam miroslav táborský roger ashtongriffiths marika sarah procházková mackenzie crook richard ridings alena jakobová rudolf pellar dana dohnalova petra dohnalova hanus bor ota filip audrey hamm annika murjahn lukás bech karel kohlicek peter stormare julian bleach bruce macewen jonathan pryce martin kavan eva reiterová denisa vokurkova martin svetlik jan unger laura greenwood frantisek velecký jakub zindulka milan gargula drahomíra fialková ludek eliás jana radojcicová lena headey tomás hanák denisa malinovska monica bellucci josef vajnar petr vrsek bara rudlova andrea milackova hedvika sochurková daniela kubickova veronika loulova vera uzelacová simona vcalová julie venhauerova deborah hyde václav chalupa jiri krejcir kamila bruderova tomas liska nigel pilkington
3882,red tails,0.8205128205128247,2012-01-20,0.5443037974683544,0.012463311743110037,125,english italian german,action adventure drama,anthony hemingway,terrence howard cuba gooding jr nate parker david oyelowo tristan mack wilds neyo elijah kelley marcus t paulk leslie odom jr michael b jordan kevin phillips andre royo method man bryan cranston lee tergesen gerald mcraney daniela ruah paul fox matthew marsh lars van riesen barnaby kay david gyasi josh dallas joel einhorn michael lindley mark bowen okezie morro andrew flach aml ameen nathaniel martellowhite anthony welsh henry garrett rick otto gabriel fleary rupert penryjones byron asher todd detwiler brett lipman ryan early brian gross ciarán mcmenamin matthew alan mike bautista jeremy kocal michael dixon paul hampshire leon ockenden dan hirst adam gold mark doerr richard conti blake ellis philip bulcock dave power robert kazinsky sam daly justin irving chris riedell ben steel jesse caldwell matt mcenerney tina dmarco jaime king sam kennard daniel cerv jirí kohout nick hendrix michael kern lukás vydrzal richard fiala jakub smíd jakub slégr radim jíra maximilian selim radek pivoda tim day howard lotker denny ratajský michael balcar kelly nimmer jirí kout ondrej hampl zachary culbertson stacie davis edwina findley dickerson michael gimenez myles kwesi hutchful mark lavell bobbie lee jr matthew leitch devon libran michael meyerson tim ohara bonnie jean shelton bertrell smith tony sommers james d weston ii tywain willis tommy wright
2052,an inconvenient truth,0.6666666666666643,2006-06-30,0.7341772151898733,0.03403598328759691,96,usa,documentary news,davis guggenheim,al gore billy west george bush george w bush ronald reagan
1243,dear john,0.7692307692307736,2010-02-05,0.5949367088607593,0.05865748835354997,108,usa,drama romance war,lasse hallström,channing tatum amanda seyfried richard jenkins henry thomas dj cotrona cullen moss gavin mcculley jose lucena jr keith robinson scott porter leslea fisher william howard david andrews mary rachel quinn bryce hayes r braeden reed luke benward tom stearns michael harding brett rice david dwyer anthony osment jim wenthe matt blue lauree bradway glenn m tatum martin coleman bowen maxx hennard jay phillips steven patrick oconnor jessica lucas teresa smith bryce hogarth amanda garsys shelley reid cenk otay russell a turner lisa burrascano mary fischer matthew m anderson sasha azevedo mellie boozer brett lee clark cricket ellis nick errato amber dawn fox moses d gardner iii anthony garner blake garris jj gentry kharolina gold pam hays malia herrick paul d hunt jim keisler lawrence laravela victor a lawrence june letourneau lane lovegrove gabriella mullis sammy nagi njuguna selena v raffaele ernest rogers sr marlo scheitler tommy scott
